author,title,status
Carl Sagan,The Demon Haunted World,downloaded
Alfred Lansing,Endurance: Shackleton's Incredible Voyage,downloaded
Peter Fitzsimons,Batavia,downloaded
Peter Fitzsimons,Mutiny on the Bounty,downloaded
David Grann,The Wager,failed
Laurence Bergreen,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,downloaded
Janina Ramirez,Femina: A New History of the Middle Ages,downloaded
Élisabeth Vigée Le Brun,Memoirs,downloaded
Olga Tokarczuk,Drive Your Plow Over the Bones of the Dead,downloaded
Daniel Mallory Ortberg,Something That May Shock and Discredit You,downloaded
Anatole France,Revolt of the Angels,downloaded
Zephyr Teachout,Break 'Em Up: Recovering Our Freedom from Big Ag,downloaded
Adrian Tchaikovsky,Children of Time,downloaded
Adrian Tchaikovsky,Children of Ruin,downloaded
Adrian Tchaikovsky,Children of Memory,downloaded
Oliver Sacks,Uncle Tungsten: Memories of a Chemical Boyhood,downloaded
Caitlin Doughty,Smoke Gets in Your Eyes,downloaded
Roger Zelazny,A Night in the Lonesome October,downloaded
Quincy Jones,Autobiography,failed
Miles Davis,Autobiography,downloaded
Sally Rooney,Normal People,downloaded
Kurt Vonnegut,The Sirens of Titan,downloaded
Dan Simmons,Hyperion,downloaded
Walter Lippmann,Public Opinion,downloaded
Elizabeth Sandifer,Neoreaction a Basilisk,downloaded
Adele Faber and Elaine Mazlish,How to Talk So Your Children Will Listen,downloaded
Adele Faber and Elaine Mazlish,Siblings Without Rivalry,failed
Mark Z. Danielewski,House of Leaves,failed
Colin Woodard,Eleven Nations,failed
Kurt Vonnegut,Breakfast of Champions,
Sam Horn,Tongue Fu!: How to Deflect,
Joanna Faber and Julie King,How To Talk So Little Kids Will Listen,
Harvard Business Review,HBR Guide to Dealing with Conflict,
Harvard Business Review,HBR Guide to Emotional Intelligence,
Harvard Business Review,HBR Guide to Managing Up and Across,
Isabel Wilkerson,Caste,
Jonathan M. Metzl,Dying of Whiteness,
Dale Peterson,Jane Goodall,
Jim Ottaviani,Primates: The Fearless Science of Jane Goodall,
Jane Goodall,My Life With Chimpanzees,
Jane Goodall,In The Shadow of Man,
Jane Goodall,Through a Window,
Jane Goodall and Douglas Adams,The Book Of Hope,
John Steinbeck,The Moon is Down,
Paul Davies,The Goldilocks Enigma,
Erik Larson,Books about civil war and other topics,
Rivers Solomon,The Deep,
Jacqueline Harpman,I Who Have Never Known Men,
Robert Axelrod,Evolution of Cooperation,
Hipparchus,On Bodies Carried Down by Their Weight,
Frantz Fanon,Books by Frantz Fanon,
Colm Tóibín,Brooklyn,
Frank McCourt,Angela's Ashes,
David Graeber and David Wengrow,The Dawn of Everything,
Claire Macintosh,I Let You Go,
Daphne du Maurier,Rebecca,
Connie Zweig,Meeting the Shadow,
Joshua Foer,Moonwalking with Einstein,
James Bradley,The Imperial Cruise,
Frans de Waal,The Age of Empathy,
Salman Rushdie,The Satanic Verses,
Salman Rushdie,Midnight's Children,
Salman Rushdie,Arabian Nights,
